seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
2,cuda,512,joint,0.7096666693687439,0.7692993879318237,0.5378590226173401,0.5292553305625916,1,0,0,0,0.197265625,1,0,0.22077922077922077,,,25210,21052
2,cuda,512,environment_oracle,0.8759999871253967,0.9370816349983215,0.9007833003997803,0.4867021143436432,3,0,0,0,0.0,0,0,,,,17048,5760
2,cuda,1024,single,0.8489999771118164,0.9402052760124207,0.6605744361877441,0.4973404109477997,1,0,0,0,0.0,0,0,0.19455252918287938,,,5048,1024
2,cuda,1024,raw_loss,0.8499999642372131,0.9410977363586426,0.652741551399231,0.5079786777496338,2,1,0,1,0.0908203125,1,0,0.23346303501945526,,-45.57494105130032,43257,38324
2,cuda,1024,expected_only,0.8489999771118164,0.9402052760124207,0.6605744361877441,0.4973404109477997,1,0,0,0,0.2109375,0,0,0.007782101167315175,,,5048,1024
2,cuda,1024,unvalidated,0.8526666760444641,0.9281570911407471,0.7415143847465515,0.5159574151039124,2,1,0,0,0.1181640625,1,0,0.22957198443579765,,,40294,34984
2,cuda,1024,joint,0.8853332996368408,0.9424363970756531,0.9164491295814514,0.5132978558540344,2,1,1,0,0.1435546875,3,1,0.22957198443579765,10.961303341094704,-30.539249790008814,86012,79524
2,cuda,1024,environment_oracle,0.8926666378974915,0.9495760798454285,0.939947783946991,0.5053191184997559,3,0,0,0,0.0,0,0,,,,19096,5760
2,cuda,1536,single,0.8766666650772095,0.9678714871406555,0.7232376337051392,0.4893616735935211,1,0,0,0,0.0,0,0,0.14007782101167315,,,6072,1536
2,cuda,1536,raw_loss,0.8773333430290222,0.9665327668190002,0.7467362880706787,0.4787233769893646,2,1,0,1,0.06770833333333333,1,0,0.14591439688715954,,-45.57494105130032,44793,38836
